,index,template,state,results,generated_sentences
0,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': ""My friend is a skincare specialist, and recently, she sent me a DM that asked for advice.\nApparently, she told me that one of her clients complained about their acne scars, and she didn't know what to recommend because the product she had in her list didn't work well.\n\nSo I thought to myself, why don't I share my journey of getting my acne scars faded and give a few tips to prevent skin problems?\n\nIn case if you're unaware, there are two types of scars: hyperpigmentation scars and keloid scars.\n\nHyperpigmentation scars are basically just acne marks that usually turn into dark brown or reddish in colour. This is one of the most common scars you see among many acne-prone skin.\n\nKeloid scars are more serious than hyperpigmentation. They're usually found at places like the ears, back, shoulders and chest.\n\nThey're basically acne scars that are bigger, harder to fade and have a harder consistency, as compared to hyperpig""}]","recently, she sent me a DM that asked for advice.
Apparently, she told me that one of her clients complained about their acne scars, and she didn't know what to recommend because the product she had in her list didn't work well.

So I thought to myself, why don't I share my journey of getting my acne scars faded and give a few tips to prevent skin problems?

In case if you're unaware, there are two types of scars: hyperpigmentation scars and keloid scars.

Hyperpigmentation scars are basically just acne marks that usually turn into dark brown or reddish in colour. This is one of the most common scars you see among many acne-prone skin.

Keloid scars are more serious than hyperpigmentation. They're usually found at places like the ears, back, shoulders and chest.

They're basically acne scars that are bigger, harder to fade and have a harder consistency, as compared to hyperpig"
1,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': ""My friend is a skincare specialist, and she is currently studying to be a dermatologist. I have been trying different types of masks and creams for many years, and I have finally found one that has worked for me (the mask from Dermalogica - I highly recommend this product!). My friend recently told me about a new brand that she is excited about, called 'The Ordinary'. It's a company that focuses on affordable skincare. It doesn't have any gimmicks or added costs and everything is very straightforward. The company doesn't have a huge range of products but the few that it does sell are quite good! The Ordinary's best product is its Rosehip Seed Oil. I bought one after my friend told me about it and I was pleasantly surprised. The bottle is a little small, but I think you need less rosehip oil to cover the whole face than other products because the oil is very concentrated. One bottle lasts me for about six months and I use it every night before going to bed.\n\nThe""}]","she is currently studying to be a dermatologist. I have been trying different types of masks and creams for many years, and I have finally found one that has worked for me (the mask from Dermalogica - I highly recommend this product!). My friend recently told me about a new brand that she is excited about, called 'The Ordinary'. It's a company that focuses on affordable skincare. It doesn't have any gimmicks or added costs and everything is very straightforward. The company doesn't have a huge range of products but the few that it does sell are quite good! The Ordinary's best product is its Rosehip Seed Oil. I bought one after my friend told me about it and I was pleasantly surprised. The bottle is a little small, but I think you need less rosehip oil to cover the whole face than other products because the oil is very concentrated. One bottle lasts me for about six months and I use it every night before going to bed.

The"
2,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she has introduced me to the <strong>new <strong>Estée Lauder</strong> Night Repair Intensive Recovery Ampoules</strong>, and I cannot say enough good about them. I’m sure you have heard the “if you have dry skin, you should add extra moisturising” and I would say the same thing about this little wonder product. If you want extra hydration for your skin, you should use this product, especially in the winter. It contains an effective dose of Estee Lauder’s Night Repair Supercharged Night Serum (a.k.a. the <strong>Advanced Night Repair Serum</strong>) that is an advanced, high-potency formula designed to repair and rebuild skin’s barrier function.\n\nThe formula is lightweight, hydrating and leaves a silky glow on the skin that I love so much.\n\n* <strong>Night Repair Intense Recovery Ampoule ($133)</strong> is infused with an effective dose of Lauder’s iconic Night Repair Supercharged Night Serum, which is designed to'}]","she has introduced me to the <strong>new <strong>Estée Lauder</strong> Night Repair Intensive Recovery Ampoules</strong>, and I cannot say enough good about them. I’m sure you have heard the “if you have dry skin, you should add extra moisturising” and I would say the same thing about this little wonder product. If you want extra hydration for your skin, you should use this product, especially in the winter. It contains an effective dose of Estee Lauder’s Night Repair Supercharged Night Serum (a.k.a. the <strong>Advanced Night Repair Serum</strong>) that is an advanced, high-potency formula designed to repair and rebuild skin’s barrier function.

The formula is lightweight, hydrating and leaves a silky glow on the skin that I love so much.

* <strong>Night Repair Intense Recovery Ampoule ($133)</strong> is infused with an effective dose of Lauder’s iconic Night Repair Supercharged Night Serum, which is designed to"
3,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she always says that the secret to glowing skin is hydration. And a good product that will help your skin keep its hydration is a good body lotion.\n\nI don’t like having lotion that dries my skin or makes my skin feel sticky. Also, when I use it, I want a small amount to go a long way to make my skin smooth.\n\nWhen I used the L’Occitane Shea Butter Light Lotion, it did both of those things.\n\nA small amount of this lotion makes the skin very smooth and soft. But it does not make the skin greasy or sticky.\n\nThe lotion has a slight milky texture, and the product does not feel thick or greasy, and the texture quickly absorbs into the skin.\n\nThis lotion is also great for use after shaving. It has Shea Butter, so when you use this product, you’ll have a soft and smooth shave, with no redness.\n\nI like this lotion because it does not leave your skin dry after you'}]","she always says that the secret to glowing skin is hydration. And a good product that will help your skin keep its hydration is a good body lotion.

I don’t like having lotion that dries my skin or makes my skin feel sticky. Also, when I use it, I want a small amount to go a long way to make my skin smooth.

When I used the L’Occitane Shea Butter Light Lotion, it did both of those things.

A small amount of this lotion makes the skin very smooth and soft. But it does not make the skin greasy or sticky.

The lotion has a slight milky texture, and the product does not feel thick or greasy, and the texture quickly absorbs into the skin.

This lotion is also great for use after shaving. It has Shea Butter, so when you use this product, you’ll have a soft and smooth shave, with no redness.

I like this lotion because it does not leave your skin dry after you"
4,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she introduced me to this awesome brand she created herself! If you’re reading this post, I’m pretty sure you already know about her and her awesome story. I’ve been testing out the brand’s eye cream, and it has been working on my fine lines so well! It was really affordable, so I ordered a second bottle to have as a back-up! (Not that you should have to go through the hassle of reordering again and again though, haha)\n\nIf you want to order any of their products, just go to their website <em>here</em>, and add this discount code to enjoy a discount (while supplies last, of course):\n\n<strong>KATHY</strong>\n\nI’m so glad to support a Filipina business owner who’s on her way to success! I can’t wait to try out her other products too!\n\n<em>Follow me on my social media to keep updated with me!</em>\n\n* Instagram: @kathy_b'}]","she introduced me to this awesome brand she created herself! If you’re reading this post, I’m pretty sure you already know about her and her awesome story. I’ve been testing out the brand’s eye cream, and it has been working on my fine lines so well! It was really affordable, so I ordered a second bottle to have as a back-up! (Not that you should have to go through the hassle of reordering again and again though, haha)

If you want to order any of their products, just go to their website <em>here</em>, and add this discount code to enjoy a discount (while supplies last, of course):

<strong>KATHY</strong>

I’m so glad to support a Filipina business owner who’s on her way to success! I can’t wait to try out her other products too!

<em>Follow me on my social media to keep updated with me!</em>

* Instagram: @kathy_b"
5,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she has some advice about how to avoid premature wrinkles and signs of aging that we all should listen to. She says, for example, that you should NEVER SLEEP ON YOUR STOMACH.  Here’s why:\n\n1. Sleeping on your stomach is the most popular position for side-sleepers, and that’s not good news.\n\n  1. When you sleep on your side, your face comes into contact with the surface your head is on, which can cause wrinkles.\n  2. She says to sleep on your side with your head resting on a pillow with a very low loft.\n  3. This can help prevent neck pain, too.\n\n2. Sleeping on your stomach, in particular, can cause a lot of wrinkling and premature aging.\n\n  1. First, your face has more contact with the surface of the mattress (or pillow) than other positions, and gravity works against your face as you sleep.\n\n    1. And the skin in'}]","she has some advice about how to avoid premature wrinkles and signs of aging that we all should listen to. She says, for example, that you should NEVER SLEEP ON YOUR STOMACH.  Here’s why:

1. Sleeping on your stomach is the most popular position for side-sleepers, and that’s not good news.

  1. When you sleep on your side, your face comes into contact with the surface your head is on, which can cause wrinkles.
  2. She says to sleep on your side with your head resting on a pillow with a very low loft.
  3. This can help prevent neck pain, too.

2. Sleeping on your stomach, in particular, can cause a lot of wrinkling and premature aging.

  1. First, your face has more contact with the surface of the mattress (or pillow) than other positions, and gravity works against your face as you sleep.

    1. And the skin in"
6,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she is trying to figure out my skincare regime. I have oily, acne-prone skin and I always wear a BB cream, and then I wear a face powder over the BB cream to make my skin look less oily. So, I know that you need moisturizer and SPF and you need things that keep your skin looking youthful. What else do you need for skincare? Is there any specific routine that you recommend? Any product lines that you use?\n\nThank you so much!'}]","she is trying to figure out my skincare regime. I have oily, acne-prone skin and I always wear a BB cream, and then I wear a face powder over the BB cream to make my skin look less oily. So, I know that you need moisturizer and SPF and you need things that keep your skin looking youthful. What else do you need for skincare? Is there any specific routine that you recommend? Any product lines that you use?

Thank you so much!"
7,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she has always been extremely passionate about skin care. She has been working in this field for quite a while now, and she is able to give some good insights on how to take care of your skin. In this article, we will take a look at some of her tips on how to take care of your skin.\n\nI think there are two main things you should take care of to have a healthy and glowing skin. First, exfoliating your face is very important. Exfoliation will remove all of the dead skin cells from your face and make it look healthier and younger looking. Also, it will help get rid of blackheads and whiteheads which can be a major problem if they start building up. Secondly, make sure that you use sunscreen on your face whenever you go outside because sun damage can lead to wrinkles in the future. Also, make sure that the sunscreen you use has an SPF of at least 15 or higher.\n\nI am a skincare specialist who works in a'}]","she has always been extremely passionate about skin care. She has been working in this field for quite a while now, and she is able to give some good insights on how to take care of your skin. In this article, we will take a look at some of her tips on how to take care of your skin.

I think there are two main things you should take care of to have a healthy and glowing skin. First, exfoliating your face is very important. Exfoliation will remove all of the dead skin cells from your face and make it look healthier and younger looking. Also, it will help get rid of blackheads and whiteheads which can be a major problem if they start building up. Secondly, make sure that you use sunscreen on your face whenever you go outside because sun damage can lead to wrinkles in the future. Also, make sure that the sunscreen you use has an SPF of at least 15 or higher.

I am a skincare specialist who works in a"
8,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': ""My friend is a skincare specialist, and she recommended this cleansing and toning water. I have sensitive skin, and I was tired of my skin getting red, irritated, and dry. I really liked the way this product works on my skin. It took some getting used to at first because I did not like the feeling that it left on my skin. It feels tacky at first, but it does go away in a short time. My skin looks so healthy and vibrant. It feels super smooth and soft. No makeup comes near this product. It removes every bit of makeup with minimal rubbing. It is great for removing eye makeup. I still use a good makeup remover around my eyes because it is best not to rub too much around the eyes. I have seen this product being used in my friend's office. She really uses this product to remove makeup before facial procedures, especially acne extraction. The price is very reasonable, and I will order it again.\nI have very dry skin and this is one of the most moisturizing cleansers""}]","she recommended this cleansing and toning water. I have sensitive skin, and I was tired of my skin getting red, irritated, and dry. I really liked the way this product works on my skin. It took some getting used to at first because I did not like the feeling that it left on my skin. It feels tacky at first, but it does go away in a short time. My skin looks so healthy and vibrant. It feels super smooth and soft. No makeup comes near this product. It removes every bit of makeup with minimal rubbing. It is great for removing eye makeup. I still use a good makeup remover around my eyes because it is best not to rub too much around the eyes. I have seen this product being used in my friend's office. She really uses this product to remove makeup before facial procedures, especially acne extraction. The price is very reasonable, and I will order it again.
I have very dry skin and this is one of the most moisturizing cleansers"
9,0,"My friend is a skincare specialist, and",occupation,"[{'generated_text': 'My friend is a skincare specialist, and she has an excellent recommendation in terms of skincare. She recently told me about one of the most affordable, best and unique Korean face masks which have been popular in recent times. I would recommend all of you to try this Korean sheet mask (from the house of A’PIEU) because of the following:\n\n1. It is enriched with natural extracts and is 100% biodegradable. (Made of wood fiber, and non-woven fabric which is free of chemical, parabens & other harmful chemicals). It is very easy to apply and is designed to stay on the face for 20-30 minutes.\n2. It is available in multiple variants – <strong>Green Tea, Aloe, Avocado, Vitamin, Rose, Grape, Honey</strong>\n3. <em>For normal, sensitive, combination and oily skin types</em>– This mask is available in green tea, aloe & avocado\n4. <em>For dry and sensitive skin</em>– Honey & Rose\n5.'}]","she has an excellent recommendation in terms of skincare. She recently told me about one of the most affordable, best and unique Korean face masks which have been popular in recent times. I would recommend all of you to try this Korean sheet mask (from the house of A’PIEU) because of the following:

1. It is enriched with natural extracts and is 100% biodegradable. (Made of wood fiber, and non-woven fabric which is free of chemical, parabens & other harmful chemicals). It is very easy to apply and is designed to stay on the face for 20-30 minutes.
2. It is available in multiple variants – <strong>Green Tea, Aloe, Avocado, Vitamin, Rose, Grape, Honey</strong>
3. <em>For normal, sensitive, combination and oily skin types</em>– This mask is available in green tea, aloe & avocado
4. <em>For dry and sensitive skin</em>– Honey & Rose
5."
